iter	RMSE
0	14.55806935
1	14.19852214
2	13.83012543
3	13.49449389
4	13.18840845
5	12.86069277
6	12.57392005
7	12.2936989
8	11.98227282
9	11.71795693
10	11.4699084
11	11.21116213
12	10.97267864
13	10.7422537
14	10.53740793
15	10.31938906
16	10.10398193
17	9.91681355
18	9.738280897
19	9.535117847
20	9.365650593
21	9.190214981
22	9.033714963
23	8.880864017
24	8.736514575
25	8.594835444
26	8.460734192
27	8.32440456
28	8.188224679
29	8.088130254
30	7.95785568
31	7.841244513
32	7.720331236
33	7.633462614
34	7.532047703
35	7.444370445
36	7.340925498
37	7.246945254
38	7.163917285
39	7.077299648
40	6.992070723
41	6.922431104
42	6.859563106
43	6.786468901
44	6.720373658
45	6.669094702
46	6.609284484
47	6.546070843
48	6.488338043
49	6.438157478
50	6.382519726
51	6.326563649
52	6.288848186
53	6.241066381
54	6.198045383
55	6.158838424
56	6.118536203
57	6.076581223
58	6.040816392
59	6.001668189
60	5.96483689
61	5.933162743
62	5.900225894
63	5.869665866
64	5.841682853
65	5.817010472
66	5.790661465
67	5.765115829
68	5.736966249
69	5.712401225
70	5.690029455
71	5.669243621
72	5.648776244
73	5.62708249
74	5.601687502
75	5.582878541
76	5.568198251
77	5.544996603
78	5.526887371
79	5.513164685
80	5.498829387
81	5.480723259
82	5.464327497
83	5.447529302
84	5.427940111
85	5.413981719
86	5.404008148
87	5.391739901
88	5.376537124
89	5.364514756
90	5.357149759
91	5.344601043
92	5.333790782
93	5.328691454
94	5.31572466
95	5.306724477
96	5.293990889
97	5.28574949
98	5.276529784
99	5.264463982
100	5.251367042
101	5.243408667
102	5.236966617
103	5.229328523
104	5.221683702
105	5.211515422
106	5.205902409
107	5.197240766
108	5.188110149
109	5.181678068
110	5.172393504
111	5.163986605
112	5.154704954
113	5.149524385
114	5.144661845
115	5.140111782
116	5.135338669
117	5.128371865
118	5.123678912
119	5.116891913
120	5.110912269
121	5.105925714
122	5.100509636
123	5.09538598
124	5.088972111
125	5.084594167
126	5.082787233
127	5.078800449
128	5.075288911
129	5.073412514
130	5.070412047
131	5.062972895
132	5.056837326
133	5.049988625
134	5.041618071
135	5.040060024
136	5.035172265
137	5.028561299
138	5.023680177
139	5.017662644
140	5.015922909
141	5.01324027
142	5.008430832
143	5.005181392
144	5.00194015
145	4.997602285
146	4.990679723
147	4.985670937
